age,length_of_service,gender_short,STATUS,BUSINESS_UNIT,job_level,dept_category
52,17,1,0,0,3,0
53,18,1,0,0,3,0
54,19,1,0,0,3,0
55,20,1,0,0,3,0
56,21,1,0,0,3,0
57,22,1,0,0,3,0
58,23,1,0,0,3,0
59,24,1,0,0,3,0
60,25,1,0,0,3,0
61,26,1,0,0,3,0
49,17,0,0,0,2,0
50,18,0,0,0,2,0
51,19,0,0,0,2,0
52,20,0,0,0,2,0
53,21,0,0,0,2,0
54,22,0,0,0,2,0
55,23,0,0,0,2,0
56,24,0,0,0,2,0
57,25,0,0,0,2,0
58,26,0,0,0,2,0
51,17,0,0,0,0,0
52,18,0,0,0,0,0
53,19,0,0,0,0,0
54,20,0,0,0,0,0
55,21,0,0,0,0,0
56,22,0,0,0,0,0
57,23,0,0,0,0,0
58,24,0,0,0,0,0
59,25,0,0,0,0,0
60,26,0,0,0,0,0
47,17,1,0,0,2,0
48,18,1,0,0,2,0
49,19,1,0,0,2,0
50,20,1,0,0,2,0
51,21,1,0,0,2,0
52,22,1,0,0,2,0
53,23,1,0,0,2,0
54,24,1,0,0,2,0
55,25,1,0,0,2,0
56,26,1,0,0,2,0
48,17,1,0,0,2,0
49,18,1,0,0,2,0
50,19,1,0,0,2,0
51,20,1,0,0,2,0
52,21,1,0,0,2,0
53,22,1,0,0,2,0
54,23,1,0,0,2,0
55,24,1,0,0,2,0
56,25,1,0,0,2,0
57,26,1,0,0,2,0
44,17,1,0,0,3,0
45,18,1,0,0,3,0
46,19,1,0,0,3,0
47,20,1,0,0,3,0
48,21,1,0,0,3,0
49,22,1,0,0,3,0
50,23,1,0,0,3,0
51,24,1,0,0,3,0
52,25,1,0,0,3,0
53,26,1,0,0,3,0
42,17,0,0,0,3,0
43,18,0,0,0,3,0
44,19,0,0,0,3,0
45,20,0,0,0,3,0
46,21,0,0,0,3,0
47,22,0,0,0,3,0
48,23,0,0,0,3,0
49,24,0,0,0,3,0
50,25,0,0,0,3,0
51,26,0,0,0,3,0
50,17,0,0,0,3,0
51,18,0,0,0,3,0
52,19,0,0,0,3,0
53,20,0,0,0,3,0
54,21,0,0,0,3,0
55,22,0,0,0,3,0
56,23,0,0,0,3,0
57,24,0,0,0,3,0
58,25,0,0,0,3,0
59,26,0,0,0,3,0
39,17,0,0,1,1,0
40,18,0,0,1,1,0
41,19,0,0,1,1,0
42,20,0,0,1,1,0
43,21,0,0,1,1,0
44,22,0,0,1,1,0
45,23,0,0,1,1,0
46,24,0,0,1,1,0
47,25,0,0,1,1,0
48,26,0,0,1,1,0
39,17,0,0,1,1,1
40,18,0,0,1,1,1
41,19,0,0,1,1,1
42,20,0,0,1,1,1
43,21,0,0,1,1,1
44,22,0,0,1,1,1
45,23,0,0,1,1,1
46,24,0,0,1,1,1
47,25,0,0,1,1,1
48,26,0,0,1,1,1
41,17,0,0,1,1,0
42,18,0,0,1,1,0
43,19,0,0,1,1,0
44,20,0,0,1,1,0
45,21,0,0,1,1,0
46,22,0,0,1,1,0
47,23,0,0,1,1,0
48,24,0,0,1,1,0
49,25,0,0,1,1,0
50,26,0,0,1,1,0
51,17,0,0,0,3,0
52,18,0,0,0,3,0
53,19,0,0,0,3,0
54,20,0,0,0,3,0
55,21,0,0,0,3,0
56,22,0,0,0,3,0
57,23,0,0,0,3,0
58,24,0,0,0,3,0
59,25,0,0,0,3,0
60,26,0,0,0,3,0
45,17,1,0,0,3,0
46,18,1,0,0,3,0
47,19,1,0,0,3,0
48,20,1,0,0,3,0
49,21,1,0,0,3,0
50,22,1,0,0,3,0
51,23,1,0,0,3,0
52,24,1,0,0,3,0
53,25,1,0,0,3,0
54,26,1,0,0,3,0
44,17,0,0,0,2,0
45,18,0,0,0,2,0
46,19,0,0,0,2,0
47,20,0,0,0,2,0
48,21,0,0,0,2,0
49,22,0,0,0,2,0
50,23,0,0,0,2,0
51,24,0,0,0,2,0
52,25,0,0,0,2,0
53,26,0,0,0,2,0
57,17,1,0,0,2,0
58,18,1,0,0,2,0
59,19,1,0,0,2,0
57,17,0,0,1,1,0
58,18,0,0,1,1,0
59,19,0,0,1,1,0
60,20,0,0,1,1,0
61,21,0,0,1,1,0
62,22,0,0,1,1,0
63,23,0,0,1,1,0
64,24,0,0,1,1,0
57,17,1,0,1,1,0
58,18,1,0,1,1,0
59,19,1,0,1,1,0
57,17,1,0,0,2,0
58,18,1,0,0,2,0
59,19,1,0,0,2,0
57,17,0,0,1,1,0
58,18,0,0,1,1,0
59,19,0,0,1,1,0
60,20,0,0,1,1,0
61,21,0,0,1,1,0
62,22,0,0,1,1,0
63,23,0,0,1,1,0
64,24,0,0,1,1,0
57,17,0,0,0,2,0
58,18,0,0,0,2,0
59,19,0,0,0,2,0
60,20,0,0,0,2,0
61,21,0,0,0,2,0
62,22,0,0,0,2,0
63,23,0,0,0,2,0
64,24,0,0,0,2,0
57,17,0,0,0,2,0
58,18,0,0,0,2,0
59,19,0,0,0,2,0
60,20,0,0,0,2,0
61,21,0,0,0,2,0
62,22,0,0,0,2,0
63,23,0,0,0,2,0
64,24,0,0,0,2,0
57,17,1,0,1,1,1
58,18,1,0,1,1,1
59,19,1,0,1,1,1
57,17,1,0,0,2,0
